"YEAR"	"DATANUM"	"SERIAL"	"HHWT"	"GQ"	"PERNUM"	"PERWT"	"LABFORCE"	"OCC2010"	"IND1990"	"HRSWORK2"	"UHRSWORK"	"INCTOT"	"INCWAGE"	"main_occ"
2014	1	485557	14	1	1	13	2	8810	351	NA	50	110500	109000	24
2014	1	1288504	258	1	3	332	2	8740	372	NA	40	38000	38000	24
2014	1	159459	121	1	1	121	2	5610	411	NA	40	4800	4800	19
2014	1	318030	58	1	1	58	2	5550	412	NA	55	73000	73000	19
2014	1	247182	63	1	2	55	2	5000	672	NA	32	19800	19800	19
2014	1	1203255	30	1	1	30	2	120	710	NA	50	133000	133000	1
2014	1	501745	239	1	1	240	2	9920	992	NA	0	2200	0	27
2014	1	1246665	91	1	1	92	2	8320	893	NA	40	33004	31000	24
2014	1	1155011	51	1	3	98	2	8350	631	NA	40	23300	14400	24
2014	1	27462	54	1	1	55	2	2310	842	NA	60	35000	35000	10
2014	1	163992	69	1	1	69	2	520	591	NA	22	5800	400	2
2014	1	1331656	254	1	1	253	2	120	810	NA	47	70000	70000	1
2014	1	220087	140	1	1	139	2	5800	732	NA	40	56000	56000	19
2014	1	841668	167	1	2	194	2	4030	641	NA	50	12000	12000	15
2014	1	201710	275	1	2	425	2	2850	831	NA	60	131000	131000	11
2014	1	195754	64	1	1	64	2	5000	412	NA	48	69000	69000	19
2014	1	839066	151	1	1	150	2	3500	831	NA	40	63000	45000	12
2014	1	935833	64	1	2	72	2	4760	633	NA	40	18200	18200	18
2014	1	1195153	71	1	2	67	2	620	651	NA	40	50000	50000	2
2014	1	223513	71	1	2	58	2	3800	910	NA	40	45000	45000	14
2014	1	1229255	45	1	1	46	2	20	682	NA	50	70000	69000	1
2014	1	361938	10	1	1	10	2	2340	940	NA	60	49000	49000	10
2014	1	805032	436	1	3	393	2	9130	641	NA	50	15000	15000	25
2014	1	805977	33	1	1	34	2	9130	410	NA	50	40000	40000	25
2014	1	262802	53	1	1	53	2	4700	623	NA	40	42700	42700	18
2014	1	124366	45	1	1	45	2	430	471	NA	40	30000	30000	1
2014	1	347900	245	1	2	234	2	3910	702	NA	40	24000	24000	14
2014	1	245890	68	1	2	100	2	850	710	NA	0	0	0	3
2014	1	820443	111	1	1	111	2	5700	842	NA	35	21904	21900	19
2014	1	935020	65	1	2	87	2	1560	41	NA	50	47800	42400	6
2014	1	359356	84	1	1	85	2	3700	910	NA	40	115000	115000	14
2014	1	1018169	82	1	2	91	2	5820	710	NA	30	30000	30000	19
2014	1	728088	135	1	2	219	2	530	831	NA	40	31900	31900	2
2014	1	533655	69	1	3	98	2	520	550	NA	16	2000	2000	2
2014	1	493925	125	1	1	126	2	540	711	NA	45	78000	78000	2
2014	1	205284	178	1	1	178	2	4040	641	NA	12	4000	4000	15
2014	1	770190	30	4	1	30	2	4760	591	NA	20	3000	3000	18
2014	1	179506	186	1	2	241	2	5940	840	NA	40	33000	33000	19
2014	1	617724	437	1	1	437	2	5240	892	NA	40	60000	60000	19
2014	1	67246	98	1	1	98	2	1020	732	NA	85	130000	130000	4
2014	1	810790	24	1	2	21	2	4230	810	NA	25	13000	13000	16
2014	1	328885	151	1	1	152	2	9920	992	NA	0	0	0	27
2014	1	915896	22	1	1	22	2	2320	842	NA	55	77200	52000	10
2014	1	587793	61	1	1	61	2	5550	412	NA	50	65000	65000	19
2014	1	478973	59	1	1	58	2	2600	893	NA	4	22500	0	11
2014	1	1283497	74	1	1	75	2	2100	901	NA	40	103004	103000	9
2014	1	619813	162	1	1	162	2	2310	842	NA	40	59000	59000	10
2014	1	104564	101	1	2	76	2	430	682	NA	40	35400	0	1
2014	1	515831	44	1	3	38	2	2440	852	NA	20	13500	13500	10
2014	1	1188691	43	1	2	42	2	4920	712	NA	40	324000	200000	18
2014	1	246951	100	1	1	100	2	3600	831	NA	40	40000	40000	13
2014	1	1256437	22	1	2	28	2	4000	641	NA	37	28900	28900	15
2014	1	459513	26	1	2	15	2	3600	832	NA	37	23000	23000	13
2014	1	471404	13	1	1	12	2	4720	601	NA	20	4000	4000	18
2014	1	463068	59	1	1	59	2	430	60	NA	40	35000	35000	1
2014	1	1297059	95	1	4	77	2	2750	741	NA	30	2700	0	11
2014	1	1052551	39	1	2	29	2	8650	110	NA	40	24700	28900	24
2014	1	219491	71	1	3	99	2	5620	591	NA	10	4400	4400	19
2014	1	564378	343	1	1	343	2	220	60	NA	40	86000	86000	1
2014	1	1349256	17	1	1	17	2	9130	101	NA	50	52000	52000	25
2014	1	333649	55	1	2	47	2	7540	740	NA	40	40000	8000	23
2014	1	306208	94	1	2	83	2	4110	641	NA	40	35000	35000	15
2014	1	1319664	112	1	1	112	2	1320	352	NA	40	84060	84000	5
2014	1	547449	82	1	1	81	2	3250	12	NA	45	314000	314000	12
2014	1	1275597	145	1	2	260	2	4600	862	NA	15	1000	1000	17
2014	1	1323195	345	1	2	306	2	1710	941	NA	50	27400	27400	7
2014	1	444374	76	1	1	76	2	5510	410	NA	30	14000	0	19
2014	1	702189	56	1	3	100	2	4600	862	NA	27	14000	14000	17
2014	1	1082204	68	1	2	54	2	5860	942	NA	40	45600	45600	19
2014	1	1108477	512	1	1	513	2	6050	10	NA	50	25000	25000	20
2014	1	272906	342	1	1	342	2	9130	471	NA	50	40000	40000	25
2014	1	1043375	61	1	1	61	2	6200	60	NA	30	66000	0	21
2014	1	288250	258	1	1	258	2	4920	712	NA	40	45000	45000	18
2014	1	1271907	102	1	2	103	2	4760	612	NA	40	50000	50000	18
2014	1	157077	54	1	1	54	2	1320	352	NA	20	7200	0	5
2014	1	95357	64	1	1	64	2	7150	751	NA	40	25000	25000	23
2014	1	1328824	42	1	2	66	2	205	11	NA	30	76000	0	1
2014	1	990866	36	1	1	36	2	7700	882	NA	77	100000	100000	24
2014	1	457919	3	4	1	3	2	1050	850	NA	10	5000	5000	4
2014	1	910965	88	1	1	88	2	3160	840	NA	37	70000	70000	12
2014	1	1316347	82	1	1	82	2	710	172	NA	40	45000	45000	2
2014	1	645172	26	1	2	30	2	3500	840	NA	36	14400	14400	12
2014	1	966218	91	1	3	163	2	4760	691	NA	10	4000	4000	18
2014	1	85577	32	1	5	50	2	6260	60	NA	40	27000	27000	21
2014	1	498067	273	1	1	273	2	4700	623	NA	40	20000	20000	18
2014	1	749490	64	1	1	64	2	730	892	NA	50	6000	0	2
2014	1	1152082	112	1	1	111	2	710	892	NA	50	100000	100000	2
2014	1	362952	87	1	1	87	2	5700	20	NA	0	18500	0	19
2014	1	1104026	74	1	1	74	2	4920	712	NA	30	30600	30500	18
2014	1	1287445	76	1	2	64	2	20	732	NA	45	50000	50000	1
2014	1	369498	93	1	3	85	2	4760	661	NA	30	18000	18000	18
2014	1	465843	202	1	1	202	2	3130	831	NA	30	38000	38000	12
2014	1	939603	80	1	3	62	2	5110	311	NA	40	35000	35000	19
2014	1	133485	93	1	1	93	2	300	341	NA	40	455030	455000	1
2014	1	1282880	176	1	1	175	2	30	181	NA	50	120000	120000	1
2014	1	631250	90	1	1	90	2	1000	732	NA	40	77000	77000	4
2014	1	707034	28	1	1	28	2	6260	60	NA	40	39000	36000	21
2014	1	264016	76	1	3	90	2	4510	772	NA	40	9100	9100	17
2014	1	445836	79	1	1	79	2	9620	212	NA	40	52000	52000	25
2014	1	1101011	89	1	1	89	2	6400	502	NA	40	11000	11000	21
2014	1	255351	232	1	1	231	2	3060	831	NA	50	46500	46500	12
2014	1	319573	104	1	1	104	2	8750	660	NA	45	6800	0	24
2014	1	1026884	409	1	1	409	2	4700	623	NA	35	25900	17300	18
2014	1	463167	19	1	1	19	2	1050	842	NA	20	28700	19700	4
2014	1	911765	105	1	4	172	2	4000	641	NA	0	0	0	15
2014	1	120404	108	1	3	126	2	3600	812	NA	40	45000	45000	13
2014	1	950242	29	1	1	28	2	120	700	NA	43	71000	70000	1
2014	1	260196	64	1	2	62	2	8320	151	NA	40	16500	16500	24
2014	1	764125	316	1	1	317	2	430	60	NA	50	15000	0	1
2014	1	149061	239	1	1	239	2	1540	882	NA	40	165000	165000	5
2014	1	564669	38	1	3	66	2	4850	120	NA	40	45000	45000	18
2014	1	832024	112	1	1	112	2	9130	410	NA	8	600	600	25
2014	1	958179	39	1	2	41	2	1430	352	NA	55	64000	64000	5
2014	1	204116	65	1	4	61	2	9130	512	NA	25	14300	14300	25
2014	1	276018	50	1	1	50	2	5000	742	NA	30	10000	10000	19
2014	1	179092	48	1	1	47	2	7210	401	NA	40	38000	38000	23
2014	1	816443	28	1	3	34	2	8140	361	NA	40	30000	30000	24
2014	1	537062	39	1	1	39	2	2200	850	NA	40	79000	79000	10
2014	1	1040087	81	1	2	90	2	2720	893	NA	50	43000	43000	11
2014	1	118866	31	1	3	68	2	4620	832	NA	40	27000	27000	17
2014	1	1283902	70	1	1	69	2	7750	850	NA	40	26000	26000	24
2014	1	36207	52	1	6	43	2	6515	60	NA	30	12000	12000	21
2014	1	1194079	79	1	1	79	2	1020	732	NA	40	82000	82000	4
2014	1	288157	46	1	1	45	2	4700	601	NA	40	22000	22000	18
2014	1	449659	33	1	1	34	2	5120	712	NA	40	99200	94000	19
